Russell Westbrook,Oklahoma City Thunder,2015-11-15,2015,3468,1610612760,400828036,1,5,21,1,Driving Dunk Shot,2PT Field Goal,1.9,Boston Celtics,0,1,9,8.8,"Olynyk, Kelly",1,14.4
Russell Westbrook,Oklahoma City Thunder,2016-03-18,2015,3468,1610612760,400828908,3,4,12,1,Driving Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,0,1,0,0,,0,0
Russell Westbrook,Oklahoma City Thunder,2015-11-25,2015,3468,1610612760,400828110,2,4,16,1,Driving Dunk Shot,2PT Field Goal,4.8,Brooklyn Nets,0,1,3,4.1,"Bargnani, Andrea",5.6,6.8
Russell Westbrook,Oklahoma City Thunder,2016-04-03,2015,3468,1610612760,400829032,4,9,32,1,Driving Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1,0,0,,0,0
Russell Westbrook,Oklahoma City Thunder,2016-01-19,2015,3468,1610612760,400828514,4,2,58,1,Driving Dunk Shot,2PT Field Goal,5.8,Denver Nuggets,0,1,3,2.1,"Harris, Gary",2.8,8
Russell Westbrook,Oklahoma City Thunder,2016-01-26,2015,3468,1610612760,400828566,3,8,29,1,Driving Dunk Shot,2PT Field Goal,0,New York Knicks,0,1,0,0,,0,0
Russell Westbrook,Oklahoma City Thunder,2015-12-23,2015,3468,1610612760,400828322,1,7,49,1,Driving Dunk Shot,2PT Field Goal,3,Los Angeles Lakers,0,1,1,1.3,"Nance Jr., Larry",8.7,21.8
Russell Westbrook,Oklahoma City Thunder,2016-01-12,2015,3468,1610612760,400828461,4,0,56,0,Driving Dunk Shot,2PT Field Goal,7.3,Minnesota Timberwolves,-14,13,8,7.9,"Dieng, Gorgui",3.2,16.1
Russell Westbrook,Oklahoma City Thunder,2016-01-08,2015,3468,1610612760,400828436,1,3,18,1,Driving Dunk Shot,2PT Field Goal,4.4,Los Angeles Lakers,0,1,3,3.7,"Randle, Julius",8.2,24
Russell Westbrook,Oklahoma City Thunder,2016-02-11,2015,3468,1610612760,400828689,3,4,18,1,Driving Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,0,1,0,0,,0,0
Russell Westbrook,Oklahoma City Thunder,2016-03-22,2015,3468,1610612760,400828941,4,8,1,1,Driving Dunk Shot,2PT Field Goal,0,Houston Rockets,0,1,0,0,,0,0
Russell Westbrook,Oklahoma City Thunder,2016-02-11,2015,3468,1610612760,400828689,2,8,44,1,Driving Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,0,1,0,0,,0,0
Russell Westbrook,Oklahoma City Thunder,2015-11-10,2015,3468,1610612760,400827994,3,2,51,1,Driving Dunk Shot,2PT Field Goal,5.6,Washington Wizards,0,1,2,2,"Temple, Garrett",1.1,21.9
Russell Westbrook,Oklahoma City Thunder,2016-01-26,2015,3468,1610612760,400828566,3,11,45,1,Driving Dunk Shot,2PT Field Goal,0,New York Knicks,0,1,0,0,,0,0
